文物采样点,artifact_id,类型,风化,亚类
01,01,高钾,无风化,HK2
03部位1,03,高钾,无风化,HK1
03部位2,03,高钾,无风化,HK2
04,04,高钾,无风化,HK2
05,05,高钾,无风化,HK2
06部位1,06,高钾,无风化,HK2
06部位2,06,高钾,无风化,HK2
07,07,高钾,风化,HK1
09,09,高钾,风化,HK1
10,10,高钾,风化,HK1
12,12,高钾,风化,HK1
13,13,高钾,无风化,HK2
14,14,高钾,无风化,HK2
16,16,高钾,无风化,HK2
18,18,高钾,无风化,HK1
21,21,高钾,无风化,HK1
22,22,高钾,风化,HK1
27,27,高钾,风化,HK1
02,02,铅钡,风化,LB2
08,08,铅钡,风化,LB3
08严重风化点,08,铅钡,严重风化,LB3
11,11,铅钡,风化,LB3
19,19,铅钡,风化,LB2
20,20,铅钡,无风化,LB3
23未风化点,23,铅钡,无风化,LB1
24,24,铅钡,无风化,LB3
25未风化点,25,铅钡,无风化,LB1
26,26,铅钡,风化,LB3
26严重风化点,26,铅钡,严重风化,LB3
28未风化点,28,铅钡,无风化,LB1
29未风化点,29,铅钡,无风化,LB1
30部位1,30,铅钡,无风化,LB2
30部位2,30,铅钡,无风化,LB2
31,31,铅钡,无风化,LB1
32,32,铅钡,无风化,LB1
33,33,铅钡,无风化,LB1
34,34,铅钡,风化,LB2
35,35,铅钡,无风化,LB1
36,36,铅钡,风化,LB2
37,37,铅钡,无风化,LB1
38,38,铅钡,风化,LB2
39,39,铅钡,风化,LB2
40,40,铅钡,风化,LB2
41,41,铅钡,风化,LB2
42未风化点1,42,铅钡,无风化,LB1
42未风化点2,42,铅钡,无风化,LB1
43部位1,43,铅钡,风化,LB2
43部位2,43,铅钡,风化,LB2
44未风化点,44,铅钡,无风化,LB1
45,45,铅钡,无风化,LB1
46,46,铅钡,无风化,LB1
47,47,铅钡,无风化,LB1
48,48,铅钡,风化,LB1
49,49,铅钡,风化,LB2
49未风化点,49,铅钡,无风化,LB1
50,50,铅钡,风化,LB2
50未风化点,50,铅钡,无风化,LB1
51部位1,51,铅钡,风化,LB2
51部位2,51,铅钡,风化,LB2
52,52,铅钡,风化,LB2
53未风化点,53,铅钡,无风化,LB1
54,54,铅钡,风化,LB2
54严重风化点,54,铅钡,严重风化,LB2
55,55,铅钡,无风化,LB1
56,56,铅钡,风化,LB2
57,57,铅钡,风化,LB2
58,58,铅钡,风化,LB2
