成分对,高钾rho,铅钡rho,差值,高钾p,铅钡p,绝对差
SiO2-K2O,-0.4633642930856553,0.34255102040816326,-0.8059153134938186,0.05278586195356667,0.015981081125414437,0.8059153134938186
CaO-P2O5,-0.3746130030959752,0.3925510204081632,-0.7671640235041384,0.1256082485036117,0.0052729059181559805,0.7671640235041384
K2O-CaO,0.45717234262125905,-0.30010204081632647,0.7572743834375855,0.0564616251020334,0.03616727221437189,0.7572743834375855
Fe2O3-CuO,0.2198142414860681,-0.5114285714285713,0.7312428129146394,0.3807953913501374,0.00017296576567402803,0.7312428129146394
K2O-BaO,-0.6945304437564499,0.009795918367346938,-0.7043263621237968,0.0013817713318639618,0.9467386997947622,0.7043263621237968
Fe2O3-BaO,0.18885448916408668,-0.5010204081632652,0.6898748973273519,0.4529458223784956,0.0002456805892498925,0.6898748973273519
SiO2-Al2O3,-0.17234262125902994,0.440408163265306,-0.612750784524336,0.49407642787678363,0.0015410334630571484,0.612750784524336
BaO-P2O5,0.2714138286893705,-0.27755102040816326,0.5489648490975337,0.27595238461589006,0.05350467918464094,0.5489648490975337
SiO2-Fe2O3,-0.5541795665634675,-0.011734693877551019,-0.5424448726859165,0.017009913077973258,0.9362173599234862,0.5424448726859165
Al2O3-Fe2O3,-0.2693498452012384,0.2710204081632653,-0.5403702533645036,0.27976422005657137,0.0596205420213764,0.5403702533645036
SiO2-CuO,0.3353973168214654,-0.18112244897959182,0.5165197658010572,0.17363506116754218,0.21296326513853409,0.5165197658010572
SiO2-P2O5,-0.1393188854489164,-0.5727551020408163,0.43343621659189985,0.5813962095847576,1.7038651150630897e-05,0.43343621659189985
Al2O3-PbO,0.06501547987616099,-0.331734693877551,0.396750173753712,0.7977151313810279,0.019882235873369736,0.396750173753712
PbO-BaO,0.5500515995872033,0.16785714285714284,0.3821944567300605,0.01802759336113747,0.24896398640252615,0.3821944567300605
CaO-Al2O3,0.23632610939112486,-0.14081632653061224,0.37714243592173713,0.3451012488097786,0.33450079050150955,0.37714243592173713
CaO-PbO,-0.12074303405572755,0.1944897959183673,-0.31523282997409485,0.6331873816566363,0.18053459617039747,0.31523282997409485
CaO-BaO,-0.6429308565531475,-0.343469387755102,-0.2994614687980455,0.004002006540262527,0.015682162633222134,0.2994614687980455
Al2O3-P2O5,0.09184726522187822,-0.20163265306122446,0.2934799182831027,0.7170028416617739,0.16473889913081607,0.2934799182831027
K2O-P2O5,-0.052631578947368425,-0.3363265306122449,0.28369495166487646,0.8356904320597222,0.018137611417198996,0.28369495166487646
CuO-PbO,-0.1929824561403509,0.07755102040816325,-0.2705334765485141,0.44294415082481003,0.5963602354519976,0.2705334765485141
PbO-P2O5,-0.1413828689370485,0.1233673469387755,-0.264750215875824,0.5757540929543487,0.39838398883102333,0.264750215875824
K2O-CuO,-0.4757481940144479,-0.2123469387755102,-0.2634012552389377,0.0459785720312123,0.14297002300253842,0.2634012552389377
CuO-BaO,0.27554179566563464,0.5182653061224489,-0.24272351045681428,0.268425131389062,0.00013650311892983145,0.24272351045681428
Fe2O3-PbO,-0.1867905056759546,0.039999999999999994,-0.2267905056759546,0.45798943476882836,0.784944757563672,0.2267905056759546
Al2O3-CuO,-0.5892672858617131,-0.3856122448979591,-0.20365504096375397,0.010070753912334255,0.006213205886687799,0.20365504096375397
CaO-CuO,-0.1331269349845201,-0.26755102040816325,0.13442408542364315,0.5984607651208831,0.0630908192200699,0.13442408542364315
K2O-Fe2O3,-0.10629514963880288,-0.0062244897959183665,-0.1000706598428845,0.6746395315456968,0.9661423616350318,0.1000706598428845
Fe2O3-P2O5,0.15583075335397317,0.060204081632653055,0.09562667172132011,0.5369306230900768,0.6811294530074097,0.09562667172132011
K2O-Al2O3,0.3065015479876161,0.396734693877551,-0.09023314588993492,0.21606379461125758,0.004768204942339278,0.09023314588993492
SiO2-CaO,-0.47368421052631576,-0.5587755102040816,0.0850912996777658,0.047064111171724266,3.009479226312857e-05,0.0850912996777658
CaO-Fe2O3,0.1867905056759546,0.2577551020408163,-0.07096459636486172,0.45798943476882836,0.07376699737609084,0.07096459636486172
SiO2-BaO,0.15376676986584106,0.10857142857142855,0.04519534129441251,0.5424031647570589,0.45773620073596377,0.04519534129441251
SiO2-PbO,-0.05882352941176471,-0.10244897959183671,0.043625450180072,0.816654203568489,0.4836300506539164,0.043625450180072
Al2O3-BaO,-0.3746130030959752,-0.3973469387755102,0.022733935679534967,0.1256082485036117,0.004698012634845484,0.022733935679534967
CuO-P2O5,0.05675954592363261,0.07632653061224488,-0.019566984688612274,0.8229893024799763,0.6021895512871137,0.019566984688612274
K2O-PbO,-0.17647058823529413,-0.16795918367346935,-0.008511404561824781,0.4836281454935329,0.24867224235073607,0.008511404561824781
