文物采样点,artifact_id,类型,采样点风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
02,02,铅钡,风化,67.45136683687551,0.1377674399934941,1.2708363395786788,0.7293375482163602,1.1293948277815524,7.746586495791225,1.1380065432237283,0.1653069034135172,19.62788283316195,0.042447964782921496,0.3875248759634939,0.10202209428275442,0.03990810083141533,0.031611196103382026
07,07,高钾,风化,76.4762438930128,0.17564593705682155,1.1112423349246936,6.16073608349148,0.3922100537589213,7.922896799990829,0.8440440368715875,4.226525720352484,0.17943243710744802,0.14325483918377227,2.135077633125135,0.0638736008909845,0.07337334352177899,0.09544328671124079
08,08,铅钡,风化,42.926639259471294,0.15790785129333346,0.06942548744911026,0.5288327918277501,0.0549012710251995,2.076846969291835,0.035095418590226274,7.5877378578638535,13.606405992703104,30.367659880119184,0.4467553527561406,0.22776464111035352,0.04574232091257617,1.8682849055860353
08严重风化点,08,铅钡,严重风化,13.524402205119527,0.21390662828709722,0.09404581099543036,1.5689065444969872,0.07437087945589894,2.3679493433517953,0.04754128814668096,3.150220598466691,21.18989035614611,40.982104719425585,1.2949316373066555,0.4490660046784593,0.061963895754996126,14.980700088368074
09,09,高钾,风化,73.75848354266293,0.16517603060491193,12.316208525041153,3.356313996668714,0.3688311892024021,4.966092533694477,1.4937854689555476,1.9010444505091213,0.16873682488645259,0.13471570192748467,1.1517917085713318,0.06006622203963721,0.06899970382586995,0.08975410140998209
10,10,高钾,风化,73.66417580235081,0.1621278834817975,18.83351962650274,1.1148304677548369,0.3620248037712658,2.988439961570605,1.190228211801127,1.0103189516057718,0.16562296711025165,0.13222966761751379,0.16169971891075682,0.05895776410396726,0.06772638803094297,0.08809778538762318
11,11,铅钡,风化,65.32835218987138,0.137624466305763,0.2658813311581023,1.1444268951715026,0.7108702833268161,3.804313130695309,0.030587385071087703,3.278934835313643,10.991355553284741,12.963248187115086,1.0651295462174313,0.20783112155389943,0.03986668459876644,0.03157839031646526
12,12,高钾,风化,67.40126120734557,0.15180322373348856,19.41564531698217,3.5892922836079073,0.3389702690477167,5.058236911348522,1.2466417988566942,1.863588200765929,0.15507573275922348,0.12380899192950923,0.4545719116696391,0.0552032041799005,0.06341342287415096,0.0824875248995877
19,19,铅钡,风化,62.591432741133865,0.15471017371452545,0.06801960216351136,1.0372741452704646,0.6414000893391442,5.4819767062674645,0.9242653524869144,2.5347666026628124,20.127054028093305,5.15421339682139,1.088692649339629,0.11587972386248985,0.04481602628702857,0.035498762557459956
22,22,高钾,风化,60.91037801429016,0.14060042701829187,13.125449438330955,7.6354814172452965,4.006566738155659,11.188358215058223,1.3882373936877894,0.5731663757191264,0.14363143093983796,0.1146721176656609,0.5871953938294617,0.05112930996840036,0.05873362973141023,0.07640009835973915
26,26,铅钡,风化,42.476906132775184,0.15901693707915096,0.06991310614997034,0.5181539506006879,0.05528687705313697,1.0925401319753678,0.03534191570602472,7.758472698565151,14.108062839997507,31.579752457111383,0.39224671365903124,0.2789566721803194,0.04606359789480932,1.4292859692522661
26严重风化点,26,铅钡,严重风化,10.480254776818782,0.20876227107009643,0.7336108428782161,1.421623635615667,0.07258229359707215,2.4173703118983885,0.046397941768210445,3.4683711716387435,18.762354863709955,45.563498181761645,0.9935134087252775,0.5044727910095104,0.06047369221678288,15.266713817291661
27,27,高钾,风化,74.81124453679891,0.1700374000930481,1.0757593410361481,5.289264091088276,4.135473371640171,9.815470031248331,0.9704312009772122,1.9632599083571463,0.17370299370055883,0.13868057988541063,1.2314163279995154,0.06183405783289195,0.07103046490930974,0.09239569443308378
34,34,铅钡,风化,67.42732742485225,0.13632967567101759,0.30669907647546507,0.2464219850460016,0.047398988786747365,2.219948506009085,0.2914753325815759,0.9731207284982826,19.525949023384072,8.597407854054834,0.03740954452362489,0.11973895067051579,0.03949161313623921,0.03128129631029303
36,36,铅钡,风化,67.24980888147905,5.586497574837999,0.1548923217000124,0.10541829003069825,0.039864318067158275,1.9773213835835028,0.1789712705136616,0.3952101440032957,15.740538135808082,8.397023733495432,0.006945938564593891,0.10798535047316463,0.033213920114016825,0.0263087373293332
38,38,铅钡,风化,62.14936520896804,3.8564320964245344,0.06067447618609712,0.21515087576893754,0.04798102229885922,3.527039845178233,0.18011558914606243,0.47115303486645793,20.714613040569702,8.429456582888864,0.05289250031923026,0.22348376553664728,0.03997654842454381,0.03166541342377841
39,39,铅钡,风化,59.110654041129386,0.1651406616082079,0.07260545207800209,0.41903343287583655,0.05741596852832198,0.8187262924802083,0.03670292894202436,0.6776622532360482,30.589803192076893,7.417295381542161,0.1525114112318826,0.39671940974947245,0.047837501917276135,0.0378920726042803
40,40,铅钡,风化,45.68253521093436,0.2001036388420757,0.08797721299585776,0.8570469098326791,0.0695718675114493,0.8945786677456996,0.17093684636712883,0.046215485177519826,42.723770814832996,8.343951775544168,0.2825237145798484,0.5369079289659047,0.05796548296186522,0.04591444370844012
41,41,铅钡,风化,47.32257780044077,0.17811734221269063,0.7342876491340931,2.131609331555751,3.602795861264897,6.207449668984603,1.5100734324330103,0.16656527437126284,25.17497551861186,11.414540536703392,1.1165634778819367,0.3479779395991931,0.05159655179179819,0.040869615014726725
43部位1,43,铅钡,风化,36.038657848041375,0.20406748507989245,0.08971995064303497,2.551040498290979,1.3305375778730848,4.751290903271527,0.726304538626836,5.313060674158731,38.6863572295114,9.658201798481226,0.008046741870031229,0.5367770735151943,0.059113719260271355,0.046823961376426096
43部位2,43,铅钡,风化,55.373108206443135,0.18299195028276702,0.08045391817816978,2.737841998324294,1.2479669510148454,6.327407768415691,1.1672457655357869,1.3176809941691812,25.41727944758836,3.7951477494067345,1.9114974285379762,0.3463810969728733,0.053008615123913715,0.04198811000626888
48,48,铅钡,风化,72.24615452306566,1.6047034078604698,0.2822084282434027,0.6404444985403932,1.0739997585789895,13.446463569074933,0.45918608124360155,0.022994403484744814,4.737139705644868,4.517856671099038,0.08700490370595457,0.09781384200961839,0.7611855864224043,0.02284462102592023
49,49,铅钡,风化,61.677358690467656,0.15177092206509982,0.06672733596632337,1.6448974189971404,1.6212192347608068,8.381054290543839,1.9317147836826933,0.5128334072352816,16.298701888755776,5.961916057363331,1.3884011809541514,0.28461585590295346,0.04396459178842919,0.034824341516526296
50,50,铅钡,风化,47.850422110241844,0.17801608863725416,0.07826623962140612,1.423233009688651,0.6439234699466927,3.618844887337904,0.2890136563725008,1.0284156944201384,26.064273144502202,17.240757769123,0.9851293024949104,0.507291024638634,0.05156722092887259,0.04084638204596835
51部位1,51,铅钡,风化,55.37670969068819,0.15904817793015502,0.06992684144743355,1.3504788896502886,1.3784874176716684,8.59027592103981,0.8811925851833504,1.0542176125520195,20.154422663944633,9.177512247366362,1.064163714704069,0.25345291953306287,0.45361718627434916,0.03649413201459761
