扰动幅度,样本,阈值翻转率,随机森林翻转率
0.0,A1,0.0,0.0
0.0,A2,0.0,0.0
0.0,A3,0.0,0.0
0.0,A4,0.0,0.0
0.0,A5,0.0,0.0
0.0,A6,0.0,0.0
0.0,A7,0.0,0.0
0.0,A8,0.0,0.0
0.05,A1,0.0,0.0
0.05,A2,0.0,0.0
0.05,A3,0.0,0.0
0.05,A4,0.0,0.0
0.05,A5,0.0,0.0
0.05,A6,0.0,0.0
0.05,A7,0.0,0.0
0.05,A8,0.0,0.0
0.1,A1,0.0,0.0
0.1,A2,0.0,0.0
0.1,A3,0.0,0.0
0.1,A4,0.0,0.0
0.1,A5,0.0,0.0
0.1,A6,0.0,0.0
0.1,A7,0.0,0.0
0.1,A8,0.0,0.0
0.15000000000000002,A1,0.0,0.0
0.15000000000000002,A2,0.0,0.0
0.15000000000000002,A3,0.0,0.0
0.15000000000000002,A4,0.0,0.0
0.15000000000000002,A5,0.0,0.0
0.15000000000000002,A6,0.0,0.0
0.15000000000000002,A7,0.0,0.0
0.15000000000000002,A8,0.0,0.0
0.2,A1,0.0,0.0
0.2,A2,0.0,0.0
0.2,A3,0.0,0.0
0.2,A4,0.0,0.0
0.2,A5,0.0,0.0
0.2,A6,0.0,0.0
0.2,A7,0.0,0.0
0.2,A8,0.0,0.0
0.25,A1,0.0,0.0
0.25,A2,0.0,0.0
0.25,A3,0.0,0.0
0.25,A4,0.0,0.0
0.25,A5,0.0,0.0
0.25,A6,0.0,0.0
0.25,A7,0.0,0.0
0.25,A8,0.0,0.0
0.30000000000000004,A1,0.0,0.0
0.30000000000000004,A2,0.0,0.0
0.30000000000000004,A3,0.0,0.0
0.30000000000000004,A4,0.0,0.0
0.30000000000000004,A5,0.0,0.0
0.30000000000000004,A6,0.0,0.0
0.30000000000000004,A7,0.0,0.0
0.30000000000000004,A8,0.0,0.0
0.35000000000000003,A1,0.0,0.0
0.35000000000000003,A2,0.0,0.0
0.35000000000000003,A3,0.0,0.0
0.35000000000000003,A4,0.0,0.0
0.35000000000000003,A5,0.0,0.0
0.35000000000000003,A6,0.0,0.0
0.35000000000000003,A7,0.0,0.0
0.35000000000000003,A8,0.0,0.0
0.4,A1,0.0,0.0
0.4,A2,0.0,0.0
0.4,A3,0.0,0.0
0.4,A4,0.0,0.0
0.4,A5,0.0,0.012
0.4,A6,0.0,0.0
0.4,A7,0.0,0.0
0.4,A8,0.0,0.0
0.45,A1,0.0,0.0
0.45,A2,0.0,0.0
0.45,A3,0.0,0.0
0.45,A4,0.0,0.0
0.45,A5,0.006,0.034
0.45,A6,0.0,0.0
0.45,A7,0.0,0.0
0.45,A8,0.0,0.0
0.5,A1,0.0,0.0
0.5,A2,0.0,0.0
0.5,A3,0.0,0.0
0.5,A4,0.0,0.0
0.5,A5,0.022,0.054
0.5,A6,0.0,0.0
0.5,A7,0.0,0.0
0.5,A8,0.0,0.0
0.55,A1,0.0,0.0
0.55,A2,0.0,0.0
0.55,A3,0.0,0.0
0.55,A4,0.0,0.0
0.55,A5,0.046,0.09
0.55,A6,0.0,0.0
0.55,A7,0.0,0.0
0.55,A8,0.0,0.0
0.6000000000000001,A1,0.0,0.0
0.6000000000000001,A2,0.0,0.0
0.6000000000000001,A3,0.0,0.0
0.6000000000000001,A4,0.0,0.0
0.6000000000000001,A5,0.058,0.094
0.6000000000000001,A6,0.0,0.0
0.6000000000000001,A7,0.0,0.0
0.6000000000000001,A8,0.0,0.0
