类型,成分,无风化n,风化n,无风化均值,风化均值,无风化中位数,风化中位数,均值差(风化-无风化),Cliff_delta,p,BH_q
高钾,SiO2,10,6,69.15976698527972,94.33097385964898,67.40762127826193,94.26692708003793,25.17120687436926,1.0,0.00024975024975024975,0.0034965034965034965
高钾,Na2O,10,6,0.8462275090937297,0.0,0.0,0.0,-0.8462275090937297,-0.3,0.17623224021150963,0.20560428024676125
高钾,K2O,10,6,9.772005143736425,0.5445788685610385,10.15061606797633,0.6656800641475393,-9.227426275175388,-0.8333333333333334,0.007693142006014619,0.021540797616840933
高钾,CaO,10,6,5.85749531926759,0.8732464654499862,6.943390292619892,0.8372150434094618,-4.984248853817604,-0.8,0.007492507492507492,0.021540797616840933
高钾,MgO,10,6,1.079320114780349,0.19775056505751776,1.0648146819418531,0.0,-0.8815695497228313,-0.7666666666666667,0.0132429375674621,0.030900187657411565
高钾,Al2O3,10,6,6.533164026530988,1.9378461059925842,6.28141891726028,1.7261314928011915,-4.595317920538404,-0.9666666666666667,0.0004995004995004995,0.0034965034965034965
高钾,Fe2O3,10,6,1.8269587481821201,0.26590087000672424,1.9635486332806502,0.2758736628216691,-1.5610578781753959,-0.8,0.007492507492507492,0.021540797616840933
高钾,CuO,10,6,2.466869781504517,1.56843230839503,2.6676606169923835,1.556059962100667,-0.8984374731094871,-0.36666666666666664,0.26348651348651353,0.28375470683162995
高钾,PbO,10,6,0.38792942778659584,0.0,0.055888629204349144,0.0,-0.38792942778659584,-0.5,0.0558501136757434,0.08687795460671195
高钾,BaO,10,6,0.46340167898814066,0.0,0.0,0.0,-0.46340167898814066,-0.3,0.17623224021150963,0.20560428024676125
高钾,P2O5,10,6,1.2038899835669876,0.2812709568881306,1.0452584479705926,0.28040342788413347,-0.922619026678857,-0.6833333333333333,0.029938625245384896,0.05987725049076979
高钾,SrO,10,6,0.03416664302125764,0.0,0.0203231378924906,0.0,-0.03416664302125764,-0.5,0.0558501136757434,0.08687795460671195
高钾,SnO2,10,6,0.2426735218508998,0.0,0.0,0.0,-0.2426735218508998,-0.1,0.5186050164287256,0.5186050164287256
高钾,SO2,10,6,0.12613111641069502,0.0,0.0,0.0,-0.12613111641069502,-0.3,0.17623224021150963,0.20560428024676125
铅钡,SiO2,21,21,56.92571467305319,27.763376215525234,55.9768833012268,27.489996755704553,-29.16233845752796,-0.927437641723356,2.8702858962095436e-07,4.0184002546933615e-06
铅钡,Na2O,21,21,1.6108002900186538,0.2751131329928872,0.0,0.0,-1.3356871570257667,-0.30612244897959184,0.039635494914808826,0.11097938576146471
铅钡,K2O,21,21,0.2008327066691742,0.15087105583057758,0.20177562550443903,0.0,-0.049961650838596605,-0.2018140589569161,0.24531108138888502,0.38159501549382113
铅钡,CaO,21,21,1.2406563117065328,2.6652105092095772,0.8541793776693105,2.3649093204902374,1.4245541975030445,0.5691609977324263,0.0016631694155038114,0.00582109295426334
铅钡,MgO,21,21,0.6221073601810201,0.6678607946418563,0.7357512953367874,0.584608843537415,0.04575343446083624,-0.02040816326530612,0.9170707629637926,0.9802999401228855
铅钡,Al2O3,21,21,4.56087918355475,3.163960473006649,4.1759411398719335,2.6072841635386026,-1.3969187105481011,-0.3242630385487528,0.07408994000050295,0.17287652666784023
铅钡,Fe2O3,21,21,0.710696504904592,0.6560954426335239,0.0,0.3277681040663731,-0.05460106227106809,0.12698412698412698,0.4711226829204247,0.5996106873532678
铅钡,CuO,21,21,1.490039369251748,1.9439456799946722,0.6683117417232161,1.1076658213540924,0.4539063107429242,0.2562358276643991,0.15885001098352836,0.2779875192211746
铅钡,PbO,21,21,21.84128046393574,44.9806525714596,20.02838029596595,47.48223045349884,23.13937210752386,0.8594104308390023,1.990022560447345e-06,1.3930157923131414e-05
铅钡,BaO,21,21,9.153578834680088,11.300617806065773,8.24859929445943,9.183673469387758,2.147038971385685,0.1655328798185941,0.36514408957445854,0.511201725404242
铅钡,P2O5,21,21,1.167229827643632,5.104032296109292,0.2027780594139714,5.645956695994157,3.93680246846566,0.6507936507936508,0.00031798560820158297,0.0014839328382740538
铅钡,SrO,21,21,0.2704288258558296,0.40088377510437356,0.25030036043251896,0.41594805721822065,0.13045494924854395,0.31065759637188206,0.08643974818103843,0.17287949636207686
铅钡,SnO2,21,21,0.031435070143656554,0.07464171985801371,0.0,0.0,0.043206649714357157,0.0045351473922902496,0.9802999401228853,0.9802999401228855
铅钡,SO2,21,21,0.17432057840139462,0.8527385275679774,0.0,0.0,0.6784179491665828,0.05215419501133787,0.5354857030141935,0.6247333201832258
