,单品编码,单品名称,分类名称,预测需求(kg),补货量(kg),批发价,损耗率(%),售价(元/kg),加成率,利润(元)
0,102900005115250,西峡花菇(1),食用菌,6.769473419809619,7.589095762118406,14.39245283018868,10.8,28.784898154537906,0.99999947848782,85.63290016899734
1,102900005115762,苋菜,花叶类,12.491862859260438,15.331201349116887,2.1614444444444443,18.52,5.295537971310489,1.4499995754790729,33.013594120909005
3,102900005115786,竹叶菜,花叶类,18.614897605728114,21.550008804964243,2.4494444444444445,13.62,6.001137849048463,1.4499995754790729,58.925017232848056
4,102900005115823,上海青,花叶类,5.405654107730429,6.317230463632615,3.7015555555555553,14.43,9.068809539723315,1.4499995754790729,25.639268022246135
6,102900005115946,木耳菜,花叶类,8.306575815253087,8.990773693314306,3.4398529411764707,7.61,8.427638245592794,1.4499995754790729,39.0778766981438
8,102900005116257,紫茄子(2),茄类,15.243195267782712,16.22825004554744,3.951777777777778,6.07,8.25005568090056,1.0876820876147175,61.626771811831716
10,102900005116714,西兰花,花菜类,17.75099254087048,19.562478004045055,7.230555555555555,9.26,14.37485824238119,0.9880710592613249,113.72041742399773
11,102900005116899,净藕(1),水生根茎类,9.23417706001178,9.77575382173595,9.590222222222222,5.54,18.094754836528956,0.8867920280929723,73.33851847782697
12,102900005118817,菠菜,花叶类,3.1825807725412294,3.9054862836436737,6.452857142857144,18.51,15.809497260627106,1.4499995754790729,25.113456943474382
13,102900005118824,高瓜(1),水生根茎类,4.603735486182148,6.507046623579008,7.749888888888889,29.25,14.622428574161859,0.8867920280929723,16.88890499347587
14,102900005118831,娃娃菜,花叶类,14.599605973743808,14.97088389432302,4.076292134831461,2.48,9.986913999865763,1.4499995754790729,84.77931302180194
15,102900005119975,红薯尖,花叶类,6.309029726681125,6.889091206247134,3.266222222222222,8.42,8.002243057864758,1.4499995754790729,27.985086543436346
16,102900011000328,螺丝椒,辣椒类,9.70879514511937,10.809168498240224,4.781000000000001,10.18,13.392154002227313,1.8011198498697578,78.34304516942896
17,102900011001691,菱角,水生根茎类,3.1218394915571777,3.4537443207845753,11.526304347826088,9.61,21.747739156851626,0.8867920280929723,28.084042771004896
18,102900011006948,外地茼蒿,花叶类,3.0509843241751553,4.1318855961202,7.816,26.16,19.14919668194443,1.4499995754790729,26.129081077883875
20,102900011008164,奶白菜,花叶类,10.490150216472225,12.44088023775169,1.927816091954023,15.68,4.723148606889081,1.4499995754790729,25.56280926057748
22,102900011016701,芜湖青椒(1),辣椒类,20.19596416244907,21.41671703335002,2.5025555555555554,5.7,7.009958042068505,1.8011198498697578,87.9763372043158
24,102900011022764,长线茄,茄类,5.892158065970358,6.32884862080597,6.63125,6.9,13.843941843495093,1.0876820876147175,39.602516181254586
25,102900011023464,小青菜(1),花叶类,6.861014829250069,7.65140496180447,2.6971186440677966,10.33,6.607939532982794,1.4499995754790729,24.70042415078704
26,102900011030059,云南生菜(份),花叶类,45.19878013789179,49.904803067121335,3.2561290322580643,9.43,7.9775147467373415,1.4499995754790729,198.0774569685955
27,102900011030097,云南油麦菜(份),花叶类,29.79919575462777,32.90183919027026,2.691666666666667,9.43,6.594582190664505,1.4499995754790729,107.95246179911616
28,102900011030110,菠菜(份),花叶类,13.719629723271579,15.148095090285503,3.0209375,9.43,7.401295592548812,1.4499995754790729,55.78158649044225
30,102900011031100,小米椒(份),辣椒类,30.405229383216177,33.57097204727413,2.731666666666667,9.43,7.651725723227555,1.8011198498697578,140.94777048305232
32,102900011032022,小皱皮(份),辣椒类,16.013420808493855,17.68071194489771,1.5393023255813953,9.43,4.311770299136727,1.8011198498697578,41.83023121492603
34,102900011032251,螺丝椒(份),辣椒类,16.013420808493855,17.68071194489771,3.0313793103448274,9.43,8.491256758691392,1.8011198498697578,82.37712328796326
35,102900011032343,七彩椒(2),辣椒类,1.7268143274374574,2.5,10.704642857142858,9.43,29.984987592909373,1.8011198498697578,25.01689904061316
37,102900011032848,姜蒜小米椒组合装(小份),辣椒类,9.93237493185062,10.966517535442884,2.491333333333333,9.43,6.978523252642188,1.8011198498697578,41.992058729246544
39,102900011034026,枝江青梗散花,花菜类,8.906442980560927,9.83376723038636,8.753333333333334,9.43,17.402248672067465,0.9880710592613249,68.91389304132905
40,102900011034330,双孢菇(盒),食用菌,14.639412381805844,14.668749881568981,3.5140677966101697,0.2,7.0281337605911816,0.99999947848782,51.34076682043542
42,102900011035078,红椒(2),辣椒类,2.888496791405537,3.1892423444910425,13.183666666666666,9.43,36.92903039406626,1.8011198498697578,64.62347781398954
46,102900051000944,洪湖藕带,水生根茎类,6.180051364456964,8.13699982153649,21.197777777777777,24.05,39.99579812439747,0.8867920280929723,74.68977277647991
47,106949711300259,金针菇(盒),食用菌,23.632194273486576,23.739019862869487,1.7666101694915255,0.45,3.53321941767433,0.99999947848782,41.56013378582833
48,106971533450003,海鲜菇(包),食用菌,12.966336681028032,12.966336681028032,2.042,0.0,4.0839989350721275,0.99999947848782,26.47724569444591
