定日镜序号,吸收塔x坐标(m),吸收塔y坐标(m),定日镜宽度(m),定日镜高度(m),定日镜x坐标(m),定日镜y坐标(m),定日镜z坐标(m),镜面面积(m2)
1,0.0,0.0,6.0,6.0,107.25,11.664,4.0,36.0
2,0.0,0.0,6.0,6.0,105.36,23.191,4.0,36.0
3,0.0,0.0,6.0,6.0,102.235,34.447,4.0,36.0
4,0.0,0.0,6.0,6.0,97.911,45.299,4.0,36.0
5,0.0,0.0,6.0,6.0,92.44,55.619,4.0,36.0
6,0.0,0.0,6.0,6.0,85.884,65.288,4.0,36.0
7,0.0,0.0,6.0,6.0,78.322,74.191,4.0,36.0
8,0.0,0.0,6.0,6.0,69.841,82.224,4.0,36.0
9,0.0,0.0,6.0,6.0,60.542,89.293,4.0,36.0
10,0.0,0.0,6.0,6.0,50.533,95.315,4.0,36.0
11,0.0,0.0,6.0,6.0,39.931,100.22,4.0,36.0
12,0.0,0.0,6.0,6.0,28.862,103.95,4.0,36.0
13,0.0,0.0,6.0,6.0,17.453,106.461,4.0,36.0
14,0.0,0.0,6.0,6.0,5.841,107.724,4.0,36.0
15,0.0,0.0,6.0,6.0,-5.841,107.724,4.0,36.0
16,0.0,0.0,6.0,6.0,-17.453,106.461,4.0,36.0
17,0.0,0.0,6.0,6.0,-28.862,103.95,4.0,36.0
18,0.0,0.0,6.0,6.0,-39.931,100.22,4.0,36.0
19,0.0,0.0,6.0,6.0,-50.533,95.315,4.0,36.0
20,0.0,0.0,6.0,6.0,-60.542,89.293,4.0,36.0
21,0.0,0.0,6.0,6.0,-69.841,82.224,4.0,36.0
22,0.0,0.0,6.0,6.0,-78.322,74.191,4.0,36.0
23,0.0,0.0,6.0,6.0,-85.884,65.288,4.0,36.0
24,0.0,0.0,6.0,6.0,-92.44,55.619,4.0,36.0
25,0.0,0.0,6.0,6.0,-97.911,45.299,4.0,36.0
26,0.0,0.0,6.0,6.0,-102.235,34.447,4.0,36.0
27,0.0,0.0,6.0,6.0,-105.36,23.191,4.0,36.0
28,0.0,0.0,6.0,6.0,-107.25,11.664,4.0,36.0
29,0.0,0.0,6.0,6.0,-107.882,0.0,4.0,36.0
30,0.0,0.0,6.0,6.0,-107.25,-11.664,4.0,36.0
31,0.0,0.0,6.0,6.0,-105.36,-23.191,4.0,36.0
32,0.0,0.0,6.0,6.0,-102.235,-34.447,4.0,36.0
33,0.0,0.0,6.0,6.0,-97.911,-45.299,4.0,36.0
34,0.0,0.0,6.0,6.0,-92.44,-55.619,4.0,36.0
35,0.0,0.0,6.0,6.0,-85.884,-65.288,4.0,36.0
36,0.0,0.0,6.0,6.0,-78.322,-74.191,4.0,36.0
37,0.0,0.0,6.0,6.0,-69.841,-82.224,4.0,36.0
38,0.0,0.0,6.0,6.0,-60.542,-89.293,4.0,36.0
39,0.0,0.0,6.0,6.0,-50.533,-95.315,4.0,36.0
40,0.0,0.0,6.0,6.0,-39.931,-100.22,4.0,36.0
41,0.0,0.0,6.0,6.0,-28.862,-103.95,4.0,36.0
42,0.0,0.0,6.0,6.0,-17.453,-106.461,4.0,36.0
43,0.0,0.0,6.0,6.0,-5.841,-107.724,4.0,36.0
44,0.0,0.0,6.0,6.0,5.841,-107.724,4.0,36.0
45,0.0,0.0,6.0,6.0,17.453,-106.461,4.0,36.0
46,0.0,0.0,6.0,6.0,28.862,-103.95,4.0,36.0
47,0.0,0.0,6.0,6.0,39.931,-100.22,4.0,36.0
48,0.0,0.0,6.0,6.0,50.533,-95.315,4.0,36.0
49,0.0,0.0,6.0,6.0,60.542,-89.293,4.0,36.0
50,0.0,0.0,6.0,6.0,69.841,-82.224,4.0,36.0
51,0.0,0.0,6.0,6.0,78.322,-74.191,4.0,36.0
52,0.0,0.0,6.0,6.0,85.884,-65.288,4.0,36.0
53,0.0,0.0,6.0,6.0,92.44,-55.619,4.0,36.0
54,0.0,0.0,6.0,6.0,97.911,-45.299,4.0,36.0
55,0.0,0.0,6.0,6.0,102.235,-34.447,4.0,36.0
56,0.0,0.0,6.0,6.0,105.36,-23.191,4.0,36.0
57,0.0,0.0,6.0,6.0,107.25,-11.664,4.0,36.0
58,0.0,0.0,6.0,6.0,107.882,0.0,4.0,36.0
59,0.0,0.0,6.0,6.0,121.217,6.05,4.0,36.0
60,0.0,0.0,6.0,6.0,120.012,18.089,4.0,36.0
61,0.0,0.0,6.0,6.0,117.615,29.948,4.0,36.0
62,0.0,0.0,6.0,6.0,114.048,41.51,4.0,36.0
63,0.0,0.0,6.0,6.0,109.348,52.659,4.0,36.0
64,0.0,0.0,6.0,6.0,103.562,63.285,4.0,36.0
65,0.0,0.0,6.0,6.0,96.746,73.282,4.0,36.0
66,0.0,0.0,6.0,6.0,88.969,82.551,4.0,36.0
67,0.0,0.0,6.0,6.0,80.307,90.999,4.0,36.0
68,0.0,0.0,6.0,6.0,70.848,98.543,4.0,36.0
69,0.0,0.0,6.0,6.0,60.684,105.107,4.0,36.0
70,0.0,0.0,6.0,6.0,49.917,110.627,4.0,36.0
71,0.0,0.0,6.0,6.0,38.654,115.048,4.0,36.0
72,0.0,0.0,6.0,6.0,27.007,118.325,4.0,36.0
73,0.0,0.0,6.0,6.0,15.091,120.426,4.0,36.0
74,0.0,0.0,6.0,6.0,3.026,121.33,4.0,36.0
75,0.0,0.0,6.0,6.0,-9.07,121.028,4.0,36.0
76,0.0,0.0,6.0,6.0,-21.075,119.524,4.0,36.0
77,0.0,0.0,6.0,6.0,-32.871,116.831,4.0,36.0
78,0.0,0.0,6.0,6.0,-44.341,112.978,4.0,36.0
79,0.0,0.0,6.0,6.0,-55.369,108.002,4.0,36.0
80,0.0,0.0,6.0,6.0,-65.848,101.952,4.0,36.0
81,0.0,0.0,6.0,6.0,-75.671,94.889,4.0,36.0
82,0.0,0.0,6.0,6.0,-84.743,86.883,4.0,36.0
83,0.0,0.0,6.0,6.0,-92.973,78.014,4.0,36.0
84,0.0,0.0,6.0,6.0,-100.279,68.369,4.0,36.0
85,0.0,0.0,6.0,6.0,-106.588,58.045,4.0,36.0
86,0.0,0.0,6.0,6.0,-111.837,47.143,4.0,36.0
87,0.0,0.0,6.0,6.0,-115.976,35.774,4.0,36.0
88,0.0,0.0,6.0,6.0,-118.961,24.049,4.0,36.0
89,0.0,0.0,6.0,6.0,-120.764,12.084,4.0,36.0
90,0.0,0.0,6.0,6.0,-121.368,0.0,4.0,36.0
91,0.0,0.0,6.0,6.0,-120.764,-12.084,4.0,36.0
92,0.0,0.0,6.0,6.0,-118.961,-24.049,4.0,36.0
93,0.0,0.0,6.0,6.0,-115.976,-35.774,4.0,36.0
94,0.0,0.0,6.0,6.0,-111.837,-47.143,4.0,36.0
95,0.0,0.0,6.0,6.0,-106.588,-58.045,4.0,36.0
96,0.0,0.0,6.0,6.0,-100.279,-68.369,4.0,36.0
97,0.0,0.0,6.0,6.0,-92.973,-78.014,4.0,36.0
98,0.0,0.0,6.0,6.0,-84.743,-86.883,4.0,36.0
99,0.0,0.0,6.0,6.0,-75.671,-94.889,4.0,36.0
100,0.0,0.0,6.0,6.0,-65.848,-101.952,4.0,36.0
101,0.0,0.0,6.0,6.0,-55.369,-108.002,4.0,36.0
102,0.0,0.0,6.0,6.0,-44.341,-112.978,4.0,36.0
103,0.0,0.0,6.0,6.0,-32.871,-116.831,4.0,36.0
104,0.0,0.0,6.0,6.0,-21.075,-119.524,4.0,36.0
105,0.0,0.0,6.0,6.0,-9.07,-121.028,4.0,36.0
106,0.0,0.0,6.0,6.0,3.026,-121.33,4.0,36.0
107,0.0,0.0,6.0,6.0,15.091,-120.426,4.0,36.0
108,0.0,0.0,6.0,6.0,27.007,-118.325,4.0,36.0
109,0.0,0.0,6.0,6.0,38.654,-115.048,4.0,36.0
110,0.0,0.0,6.0,6.0,49.917,-110.627,4.0,36.0
111,0.0,0.0,6.0,6.0,60.684,-105.107,4.0,36.0
112,0.0,0.0,6.0,6.0,70.848,-98.543,4.0,36.0
113,0.0,0.0,6.0,6.0,80.307,-90.999,4.0,36.0
114,0.0,0.0,6.0,6.0,88.969,-82.551,4.0,36.0
115,0.0,0.0,6.0,6.0,96.746,-73.282,4.0,36.0
116,0.0,0.0,6.0,6.0,103.562,-63.285,4.0,36.0
117,0.0,0.0,6.0,6.0,109.348,-52.659,4.0,36.0
118,0.0,0.0,6.0,6.0,114.048,-41.51,4.0,36.0
119,0.0,0.0,6.0,6.0,117.615,-29.948,4.0,36.0
120,0.0,0.0,6.0,6.0,120.012,-18.089,4.0,36.0
121,0.0,0.0,6.0,6.0,121.217,-6.05,4.0,36.0
122,0.0,0.0,6.0,6.0,134.294,12.263,4.0,36.0
123,0.0,0.0,6.0,6.0,132.623,24.424,4.0,36.0
124,0.0,0.0,6.0,6.0,129.852,36.383,4.0,36.0
125,0.0,0.0,6.0,6.0,126.006,48.04,4.0,36.0
126,0.0,0.0,6.0,6.0,121.115,59.299,4.0,36.0
127,0.0,0.0,6.0,6.0,115.221,70.067,4.0,36.0
128,0.0,0.0,6.0,6.0,108.372,80.255,4.0,36.0
129,0.0,0.0,6.0,6.0,100.625,89.777,4.0,36.0
130,0.0,0.0,6.0,6.0,92.044,98.555,4.0,36.0
131,0.0,0.0,6.0,6.0,82.701,106.517,4.0,36.0
132,0.0,0.0,6.0,6.0,72.672,113.596,4.0,36.0
133,0.0,0.0,6.0,6.0,62.041,119.734,4.0,36.0
134,0.0,0.0,6.0,6.0,50.896,124.879,4.0,36.0
135,0.0,0.0,6.0,6.0,39.329,128.99,4.0,36.0
136,0.0,0.0,6.0,6.0,27.437,132.032,4.0,36.0
137,0.0,0.0,6.0,6.0,15.317,133.98,4.0,36.0
138,0.0,0.0,6.0,6.0,3.07,134.818,4.0,36.0
139,0.0,0.0,6.0,6.0,-9.203,134.538,4.0,36.0
140,0.0,0.0,6.0,6.0,-21.399,133.144,4.0,36.0
141,0.0,0.0,6.0,6.0,-33.418,130.647,4.0,36.0
142,0.0,0.0,6.0,6.0,-45.159,127.067,4.0,36.0
143,0.0,0.0,6.0,6.0,-56.527,122.434,4.0,36.0
144,0.0,0.0,6.0,6.0,-67.426,116.786,4.0,36.0
145,0.0,0.0,6.0,6.0,-77.767,110.171,4.0,36.0
146,0.0,0.0,6.0,6.0,-87.463,102.643,4.0,36.0
147,0.0,0.0,6.0,6.0,-96.435,94.264,4.0,36.0
148,0.0,0.0,6.0,6.0,-104.607,85.104,4.0,36.0
149,0.0,0.0,6.0,6.0,-111.912,75.239,4.0,36.0
150,0.0,0.0,6.0,6.0,-118.291,64.751,4.0,36.0
151,0.0,0.0,6.0,6.0,-123.689,53.726,4.0,36.0
152,0.0,0.0,6.0,6.0,-128.062,42.255,4.0,36.0
153,0.0,0.0,6.0,6.0,-131.373,30.435,4.0,36.0
154,0.0,0.0,6.0,6.0,-133.597,18.362,4.0,36.0
155,0.0,0.0,6.0,6.0,-134.713,6.138,4.0,36.0
156,0.0,0.0,6.0,6.0,-134.713,-6.138,4.0,36.0
157,0.0,0.0,6.0,6.0,-133.597,-18.362,4.0,36.0
158,0.0,0.0,6.0,6.0,-131.373,-30.435,4.0,36.0
159,0.0,0.0,6.0,6.0,-128.062,-42.255,4.0,36.0
160,0.0,0.0,6.0,6.0,-123.689,-53.726,4.0,36.0
161,0.0,0.0,6.0,6.0,-118.291,-64.751,4.0,36.0
162,0.0,0.0,6.0,6.0,-111.912,-75.239,4.0,36.0
163,0.0,0.0,6.0,6.0,-104.607,-85.104,4.0,36.0
164,0.0,0.0,6.0,6.0,-96.435,-94.264,4.0,36.0
165,0.0,0.0,6.0,6.0,-87.463,-102.643,4.0,36.0
166,0.0,0.0,6.0,6.0,-77.767,-110.171,4.0,36.0
167,0.0,0.0,6.0,6.0,-67.426,-116.786,4.0,36.0
168,0.0,0.0,6.0,6.0,-56.527,-122.434,4.0,36.0
169,0.0,0.0,6.0,6.0,-45.159,-127.067,4.0,36.0
170,0.0,0.0,6.0,6.0,-33.418,-130.647,4.0,36.0
171,0.0,0.0,6.0,6.0,-21.399,-133.144,4.0,36.0
172,0.0,0.0,6.0,6.0,-9.203,-134.538,4.0,36.0
173,0.0,0.0,6.0,6.0,3.07,-134.818,4.0,36.0
174,0.0,0.0,6.0,6.0,15.317,-133.98,4.0,36.0
175,0.0,0.0,6.0,6.0,27.437,-132.032,4.0,36.0
176,0.0,0.0,6.0,6.0,39.329,-128.99,4.0,36.0
177,0.0,0.0,6.0,6.0,50.896,-124.879,4.0,36.0
178,0.0,0.0,6.0,6.0,62.041,-119.734,4.0,36.0
179,0.0,0.0,6.0,6.0,72.672,-113.596,4.0,36.0
180,0.0,0.0,6.0,6.0,82.701,-106.517,4.0,36.0
181,0.0,0.0,6.0,6.0,92.044,-98.555,4.0,36.0
182,0.0,0.0,6.0,6.0,100.625,-89.777,4.0,36.0
183,0.0,0.0,6.0,6.0,108.372,-80.255,4.0,36.0
184,0.0,0.0,6.0,6.0,115.221,-70.067,4.0,36.0
185,0.0,0.0,6.0,6.0,121.115,-59.299,4.0,36.0
186,0.0,0.0,6.0,6.0,126.006,-48.04,4.0,36.0
187,0.0,0.0,6.0,6.0,129.852,-36.383,4.0,36.0
188,0.0,0.0,6.0,6.0,132.623,-24.424,4.0,36.0
189,0.0,0.0,6.0,6.0,134.294,-12.263,4.0,36.0
190,0.0,0.0,6.0,6.0,134.853,0.0,4.0,36.0
191,0.0,0.0,6.0,6.0,148.218,5.973,4.0,36.0
192,0.0,0.0,6.0,6.0,147.257,17.88,4.0,36.0
193,0.0,0.0,6.0,6.0,145.34,29.671,4.0,36.0
194,0.0,0.0,6.0,6.0,142.481,41.27,4.0,36.0
195,0.0,0.0,6.0,6.0,138.699,52.601,4.0,36.0
196,0.0,0.0,6.0,6.0,134.016,63.591,4.0,36.0
197,0.0,0.0,6.0,6.0,128.465,74.169,4.0,36.0
198,0.0,0.0,6.0,6.0,122.08,84.266,4.0,36.0
199,0.0,0.0,6.0,6.0,114.903,93.816,4.0,36.0
200,0.0,0.0,6.0,6.0,106.982,102.757,4.0,36.0
201,0.0,0.0,6.0,6.0,98.366,111.033,4.0,36.0
202,0.0,0.0,6.0,6.0,89.113,118.588,4.0,36.0
203,0.0,0.0,6.0,6.0,79.282,125.374,4.0,36.0
204,0.0,0.0,6.0,6.0,68.936,131.347,4.0,36.0
205,0.0,0.0,6.0,6.0,58.144,136.468,4.0,36.0
206,0.0,0.0,6.0,6.0,46.974,140.704,4.0,36.0
207,0.0,0.0,6.0,6.0,35.5,144.028,4.0,36.0
208,0.0,0.0,6.0,6.0,23.795,146.417,4.0,36.0
209,0.0,0.0,6.0,6.0,11.936,147.857,4.0,36.0
210,0.0,0.0,6.0,6.0,0.0,148.338,4.0,36.0
211,0.0,0.0,6.0,6.0,-11.936,147.857,4.0,36.0
212,0.0,0.0,6.0,6.0,-23.795,146.417,4.0,36.0
213,0.0,0.0,6.0,6.0,-35.5,144.028,4.0,36.0
214,0.0,0.0,6.0,6.0,-46.974,140.704,4.0,36.0
215,0.0,0.0,6.0,6.0,-58.144,136.468,4.0,36.0
216,0.0,0.0,6.0,6.0,-68.936,131.347,4.0,36.0
217,0.0,0.0,6.0,6.0,-79.282,125.374,4.0,36.0
