月份,平均光学效率,平均余弦效率,平均阴影遮挡效率,平均截断效率,平均输出热功率(MW),单位面积平均输出热功率(kW/m2)
1,0.45513468683176617,0.7261088256004143,0.7235160287648156,0.9794078125000001,9.845184391351081,0.3980308088624898
2,0.4927773230826936,0.7425881870937366,0.765373250093293,0.97940625,11.499986473086174,0.46493277686209183
3,0.5117703969561632,0.759910841451353,0.7759978725559653,0.9794500000000002,12.628239574702013,0.5105469042147779
4,0.5215561363729083,0.7731660085576111,0.7764600045001294,0.9793546875000001,13.295580611477408,0.5375268247623494
5,0.5264266866266735,0.7796918033774827,0.7764600045001294,0.9794390625,13.612099859574737,0.5503233765924403
6,0.527675842443305,0.7813480557942943,0.7764600045001294,0.9793921874999999,13.694284591817908,0.5536460218726683
7,0.5258382152032481,0.7790720649599818,0.7764600045001294,0.9792015624999999,13.578690401463223,0.5489726661225109
8,0.5202801144536733,0.7713003114429521,0.7764600045001294,0.9795078125,13.207136770676659,0.5339511300781794
9,0.5093458200195903,0.75694323560536,0.7755269823199615,0.9794343750000001,12.46459807272033,0.5039310444392655
10,0.4872870606313052,0.7393344470941556,0.7603603057980646,0.9793218749999999,11.227160604067421,0.4539027039850877
11,0.4483287216480143,0.7239532276984122,0.7148356734687324,0.979471875,9.578033409405197,0.38723016590797676
12,0.4309688624742979,0.7189906559012327,0.6919890740428405,0.9797687500000001,8.919682924754847,0.36061372425447197
