航班ID,起点,终点,时间,状态
1,H,P1,N/A,正常
2,H,P1,N/A,正常
3,H,P1,N/A,正常
4,H,P1,N/A,正常
5,H,P1,N/A,正常
6,H,P1,N/A,正常
7,H,P1,N/A,正常
8,H,P2,N/A,正常
9,H,P2,N/A,正常
10,H,P2,N/A,正常
11,H,P2,N/A,正常
12,H,P2,N/A,正常
13,H,P3,N/A,正常
14,H,P3,N/A,正常
15,H,P3,N/A,正常
16,H,P3,N/A,正常
17,H,P3,N/A,正常
18,H,P3,N/A,正常
19,H,P3,N/A,正常
20,H,P3,N/A,正常
21,H,P4,N/A,正常
22,H,P4,N/A,正常
23,H,P4,N/A,正常
24,H,P4,N/A,正常
25,H,P4,N/A,正常
26,H,P4,N/A,正常
27,H,P4,N/A,正常
28,H,P4,N/A,正常
29,H,P4,N/A,正常
30,H,P4,N/A,正常
31,H,P5,N/A,正常
32,H,P5,N/A,正常
33,H,P5,N/A,正常
